All traffic signals
PX,Main,Mid Block,Side 1,Side 2,Private Access,Additional Info,Geo ID,Node ID,X,Y,Latitude,Longitude,Activation Date,Signal System,Non system,Mode of Control,Pedestrian Walk speed,APS,Transit Preempt,Fire preempt,Rail preempt,No. of Signalized Approaches
"0038","YONGE ST","","CARLTON ST","COLLEGE ST","","","7754955","13464913","314211.688","4835498.788","43.6613687","-79.383094","1932-02-18 00:00:00.0","TransSuite","","FXT","1.0 m/s (FDW based on full crossing @1.2m/s)","1","","","","4"
"0039","YONGE ST","","WELLESLEY ST","","","","1143164","13464342","314091.34","4835894.66","43.6649351","-79.384558","1948-09-30 00:00:00.0","SCOOT","","FXT","1.0 m/s (FDW based on 3/8th, 5/8th rule)","0","","","","4"
"0040","BLOOR ST","","YONGE ST","","","","10759265","13463436","313913.75","4836482.04","43.670229","-79.386767","1925-08-28 00:00:00.0","SCOOT","","FXT","1.0 m/s (FDW based on full crossing @1.2m/s)","1","","","","4"
"0041","YONGE ST","","CHURCH ST","DAVENPORT RD","","","8677192","13463015","313826.41","4836776","43.672879","-79.387845","1932-12-03 00:00:00.0","SCOOT","","FXT","1.0 m/s (FDW based on full crossing @1.2m/s)","0","","","","4"
"0042","YONGE ST","","AYLMER AVE","BELMONT ST","","","8680055","13462557","313735.66","4837077.5","43.6756028","-79.38895","1963-11-19 00:00:00.0","MTSS","","FXT","1.0 m/s (FDW based on full crossing @1.2m/s)","0","","","","4"
"0043","YONGE ST","","CRESCENT RD","","","","1140959","13462319","313691.53","4837230","43.6769762","-79.389534","1957-10-16 00:00:00.0","TransSuite","","SAP","1.0 m/s (FDW based on full crossing @1.2m/s)","0","","","","3"
"0044","YONGE ST","","MACPHERSON AVE","ROWANWOOD AVE","","","10759182","13461921","313618.59","4837472.5","43.6791392","-79.390424","1948-04-10 00:00:00.0","TransSuite","","SAP","1.0 m/s (FDW based on full crossing @1.2m/s)","0","","","","4"
"0045","YONGE ST","","SHAFTESBURY AVE","ALCORN AVE","","","8681095","13461419","313527.66","4837786.5","43.6820226","-79.391574","1955-12-05 00:00:00.0","MTSS","","SAP","1.0 m/s (FDW based on 3/8th, 5/8th rule)","0","","","","4"
"0046","YONGE ST","","ST CLAIR AVE","","","","8741191","13460295","313318.22","4838465","43.688075","-79.394098","1927-04-05 00:00:00.0","Awaiting TransSuite Control","","FXT","1.0 m/s (FDW based on full crossing @1.2m/s)","1","1","","","4"
"0047","YONGE ST","","CHAPLIN CRES","DAVISVILLE AVE","","","7273833","13458407","313115.19","4839600","43.6982977","-79.396601","1930-06-14 00:00:00.0","MTSS","","FXT","1.0 m/s (FDW based on full crossing @1.2m/s)","1","","","","4"
"0048","YONGE ST","","MANOR RD","","","","7274839","13457785","313045.059","4840067.784","43.702508","-79.397458","1956-12-11 00:00:00.0","TransSuite","","SAP","1.0 m/s (FDW based on full crossing @1.2m/s)","0","","","","4"
"0049","YONGE ST","","EGLINTON AVE","","","","14230407","13457078","312975.13","4840536.5","43.7067501","-79.398311","1929-08-21 00:00:00.0","MTSS","","FXT","1.0 m/s (FDW based on 3/8th, 5/8th rule)","1","","","","4"
"0050","YONGE ST","","BROADWAY AVE","MONTGOMERY AVE","","","8535805","13456650","312923.876","4840853.272","43.709554","-79.398943","1957-02-12 00:00:00.0","TransSuite","","FXT","1.0 m/s (FDW based on full crossing @1.2m/s)","0","","1","","4"
"0051","YONGE ST","","CASTLEFIELD AVE","","","","8540403","13456266","312884.98","4841103.75","43.7118551","-79.399437","1929-08-21 00:00:00.0","MTSS","","SAP","1.0 m/s (FDW based on full crossing @1.2m/s)","0","","","","3"
"0052","YONGE ST","","BLYTHWOOD RD","LYTTON BLVD","","","8566211","13455496","312804.85496","4841620.92251","43.716605","-79.400452","1954-08-12 00:00:00.0","TransSuite","","FXT","1.0 m/s (FDW based on full crossing @1.2m/s)","1","","","","4"
"0053","YONGE ST","","GLENGROVE AVE","","","","8566492","13455032","312749.76","4841959.94","43.7195544","-79.40109","1961-07-06 00:00:00.0","TransSuite","","SA2","1.0 m/s (FDW based on full crossing @1.2m/s)","0","","","","4"
"0054","YONGE ST","","CHATSWORTH DR","ST EDMUNDS DR","","","10154588","13454680","312712.92","4842229.06","43.721971","-79.401557","1930-07-17 00:00:00.0","TransSuite","","SAP","1.0 m/s (FDW based on full crossing @1.2m/s)","0","","","","3"
"0055","YONGE ST","","LAWRENCE AVE","","","","10133844","13454250","312664.095","4842576.966","43.7251031","-79.402193","1941-01-03 00:00:00.0","TransSuite","","FXT","1.0 m/s (FDW based on full crossing @1.2m/s)","1","","","","4"
"0056","YONGE ST","","RANLEIGH AVE","","","","7847768","13453893","312603.51","4842880.49","43.7278642","-79.40293","1929-08-24 00:00:00.0","TransSuite","","SAP","1.0 m/s (FDW based on full crossing @1.2m/s)","1","","","","3"
"0057","YONGE ST","","FAIRLAWN AVE","","","","14036751","13453356","312540.891","4843217.292","43.730913","-79.403788","1956-08-29 00:00:00.0","TransSuite","","SA2","1.0 m/s (FDW based on full crossing @1.2m/s)","1","","","","3"
"0058","YONGE ST","","YONGE BLVD","PRIVATE ACCESS","","","3440737","13452847","312471.37628","4843605.36839","43.7343677","-79.404585","1955-10-12 00:00:00.0","TransSuite","","SA2","1.0 m/s (FDW based on full crossing @1.2m/s)","0","","","","4"
"0059","BAY ST","","FRONT ST W","","","","10864309","13467389","314534.82","4833789.98","43.645996","-79.379115","1928-09-18 00:00:00.0","MTSS","","FXT","1.0 m/s (FDW based on full crossing @1.2m/s)","0","","","","4"
"0060","BAY ST","","WELLINGTON ST W","","","","10224288","13467163","314486.66","4833939.64","43.647345","-79.379702","1928-09-28 00:00:00.0","TransSuite","","FXT","1.0 m/s (FDW based on full crossing @1.2m/s)","1","","","","3"
"0061","BAY ST","","KING ST W","","","","8087327","13466960","314442.1","4834085.77","43.648653","-79.380268","1927-11-03 00:00:00.0","TransSuite","","FXT","1.0 m/s (FDW based on full crossing @1.2m/s)","0","","","","4"
"0062","BAY ST","","ADELAIDE ST W","","","","14025268","13466743","314399.04","4834223.7","43.649876","-79.380823","1928-09-26 00:00:00.0","TransSuite","","FXT","1.0 m/s (FDW based on full crossing @1.2m/s)","0","","","","3"
"0063","BAY ST","","RICHMOND ST W","","","","8067832","13466536","314356.61","4834365.5614","43.6512244","-79.381452","1930-12-30 00:00:00.0","TransSuite","","FXT","1.0 m/s (FDW based on full crossing @1.2m/s)","0","","","","3"
"0064","BAY ST","","QUEEN ST W","","","","1145090","13466418","314325.477","4834445.907","43.65189","-79.381698","1927-11-03 00:00:00.0","TransSuite","","FXT","1.0 m/s (FDW based on full crossing @1.2m/s)","0","","","","4"
"0065","BAY ST","","ALBERT ST","","","","1145054","13466250","314250.84","4834565.42","43.6529652","-79.382631","1948-11-22 00:00:00.0","TransSuite","","FXT","1.0 m/s (FDW based on full crossing @1.2m/s)","1","","","","3"
"0066","DUNDAS ST W","","BAY ST","","","","10906585","13465822","314159.73","4834870.32","43.655721","-79.383734","1928-06-28 00:00:00.0","MTSS","","FXT","1.0 m/s (FDW based on 3/8th, 5/8th rule)","1","1","","","4"
"0067","BAY ST","","GERRARD ST W","","","","2854201","13465361","314068.32","4835180.68","43.658496","-79.384865","1941-04-07 00:00:00.0","SCOOT","","FXT","1.0 m/s (FDW based on 3/8th, 5/8th rule)","0","","","","4"
"0068","BAY ST","","COLLEGE ST","","","","7792579","13464999","313990.43","4835436.64","43.6608138","-79.385857","1928-01-28 00:00:00.0","SCOOT","","FXT","1.0 m/s (FDW based on 3/8th, 5/8th rule)","0","","","","4"
"0069","BAY ST","","WELLESLEY ST W","","","","7754627","13464427","313882.731","4835831.112","43.664366","-79.387151","1930-12-30 00:00:00.0","SCOOT","","FXT","1.0 m/s (FDW based on full crossing @1.2m/s)","0","","","","4"
"0070","BAY ST","","BLOOR ST W","","","","8408346","13463548","313694.52","4836419.79","43.669701","-79.389468","1928-07-21 00:00:00.0","SCOOT","","FXT","1.0 m/s (FDW based on full crossing @1.2m/s)","1","","","","4"
"0071","YORK ST","","WELLINGTON ST W","","","","7929299","13467303","314220.5304","4833858.1932","43.6466383","-79.383007","1928-06-22 00:00:00.0","Awaiting TransSuite Control","","FXT","1.0 m/s (FDW based on full crossing @1.2m/s)","0","","","","2"
"0072","KING ST W","","YORK ST","","","","7930910","13467083","314176.04","4834004.7","43.6479338","-79.383531","1927-11-03 00:00:00.0","TransSuite","","FXT","1.0 m/s (FDW based on full crossing @1.2m/s)","0","1","","","3"
"0073","YORK ST","","ADELAIDE ST W","","","","7929403","13466858","314132.933","4834145.031","43.649196","-79.384074","1928-11-06 00:00:00.0","TransSuite","","FXT","1.0 m/s (FDW based on full crossing @1.2m/s)","0","","","","2"
"0074","YORK ST","","RICHMOND ST W","","","","14025283","13466666","314089.1337","4834284.1546","43.6505005","-79.38462","1928-11-06 00:00:00.0","TransSuite","","FXT","1.0 m/s (FDW based on full crossing @1.2m/s)","1","","","","2"
"0075","UNIVERSITY AVE","","YORK ST","FRONT ST W","","","14037155","13467506","314265.8","4833712.4","43.645291","-79.382476","1928-06-14 00:00:00.0","TransSuite","","FXT","1.0 m/s (FDW based on full crossing @1.2m/s)","0","","","","4"
"0076","UNIVERSITY AVE","","WELLINGTON ST W","","","","3065748","13467345","314134.216","4833833.473","43.6464054","-79.384076","1932-02-17 00:00:00.0","TransSuite","","FXT","1.0 m/s (FDW based on full crossing @1.2m/s)","0","","","","3"
"0077","UNIVERSITY AVE","","KING ST W","","","","1145856","13467123","314076.987","4833975.423","43.6476553","-79.384788","1932-02-15 00:00:00.0","TransSuite","","FXT","1.0 m/s (FDW based on full crossing @1.2m/s)","0","","","","4"
"0078","UNIVERSITY AVE","","ADELAIDE ST W","","","","7929431","13466931","314016.35","4834109.42","43.648857","-79.38548","1932-12-02 00:00:00.0","TransSuite","","FXT","1.0 m/s (FDW based on full crossing @1.2m/s)","1","","","","3"
"0079","UNIVERSITY AVE","","RICHMOND ST W","","","","1145433","13466730","313956.8773","4834244.6549","43.6501396","-79.38624","1932-02-15 00:00:00.0","TransSuite","","FXT","1.0 m/s (FDW based on full crossing @1.2m/s)","0","","","","3"
"0080","UNIVERSITY AVE","","QUEEN ST W","","","","1145286","13466604","313929.489","4834329.874","43.650827","-79.386628","1932-05-15 00:00:00.0","TransSuite","","FXT","1.0 m/s (FDW based on full crossing @1.2m/s)","1","","","","4"
"0081","UNIVERSITY AVE","","DUNDAS ST W","","","","1144662","13465980","313792.98","4834766.95","43.654812","-79.388484","1928-06-28 00:00:00.0","TransSuite","","FXT","1.0 m/s (FDW based on full crossing @1.2m/s)","1","","","","4"
"0082","UNIVERSITY AVE","","ELM ST","","","","12601293","13465733","313740.029","4834939.944","43.656323","-79.388959","1958-06-17 00:00:00.0","TransSuite","","FXT","1.0 m/s (FDW based on full crossing @1.2m/s)","1","","","","4"
"0083","UNIVERSITY AVE","","COLLEGE ST","","","","6345158","13465166","313616.3357","4835329.8328","43.6598474","-79.39049","1928-06-28 00:00:00.0","TransSuite","","FXT","1.0 m/s (FDW based on full crossing @1.2m/s)","1","","","","4"
"0084","QUEENS PARK CRES E","","WELLESLEY ST W","","","","8128875","13464585","313603.37","4835743.66","43.6636098","-79.390626","1950-07-26 00:00:00.0","SCOOT","","FXT","1.2 m/s (FDW based on 3/8th, 5/8th rule)","0","","","","3"
"0085","QUEENS PARK CRES E","125m NORTH OF","ST JOSEPH ST","","VICTORIA COLLEGE ACCESS","","30030179","30030178","313503.451","4836002.9780000001","43.6659353","-79.391879","1947-11-24 00:00:00.0","SCOOT","","PED","1.0 m/s (FDW based on 3/8th, 5/8th rule)","0","","","","1"
"0086","AVENUE RD","","BLOOR ST W","","","","1142361","13463747","313320.93","4836313.86","43.668685","-79.394119","1928-07-21 00:00:00.0","SCOOT","","FXT","1.0 m/s (FDW based on 3/8th, 5/8th rule)","0","","","","4"
"0087","EGLINTON AVE E","","BRENTCLIFFE RD","","","","8676925","13455720","316079.705","4841415.487","43.7145838","-79.359791","1966-07-04 00:00:00.0","TransSuite","","FXT","1.0 m/s (FDW based on 3/8th, 5/8th rule)","1","","","","4"
"0088","EGLINTON AVE E","","LAIRD DR","","","","11816845","13455899","315678.88","4841299.5","43.713573","-79.364752","1958-01-31 00:00:00.0","MTSS","","FXT","1.2 m/s (FDW based on 3/8th, 5/8th rule)","1","1","","","4"
"0089","EGLINTON AVE E","","RUMSEY RD","","","","304","13456085","315287.6492","4841188.6685","43.7125627","-79.369606","1958-12-29 00:00:00.0","TransSuite","","SA2","1.0 m/s (FDW based on full crossing @1.2m/s)","0","","","","4"
"0090","EGLINTON AVE E","","BAYVIEW AVE","","","","1138170","13456348","314683.63","4841017","43.711056","-79.377114","1960-03-21 00:00:00.0","SCOOT","","FXT","1.0 m/s (FDW based on 3/8th, 5/8th rule)","1","","","","4"
"0091","EGLINTON AVE E","","BANFF RD","","","","9035659","13456522","314273.59","4840903.5","43.7100093","-79.382221","1953-08-10 00:00:00.0","TransSuite","","SAP","1.0 m/s (FDW based on full crossing @1.2m/s)","0","","","","4"
"0092","MOUNT PLEASANT RD","","EGLINTON AVE E","","","","9035888","13456819","313633.2813","4840723.5001","43.7084166","-79.390153","1939-06-29 00:00:00.0","TransSuite","","FXT","1.0 m/s (FDW based on full crossing @1.2m/s)","1","","","","4"
"0093","EGLINTON AVE E","","REDPATH AVE","","","","1138280","13456902","313422.03","4840662.5","43.7078669","-79.39279","1961-05-30 00:00:00.0","Awaiting TransSuite Control","","SAP","1.0 m/s (FDW based on full crossing @1.2m/s)","1","1","","","4"
"0094","EGLINTON AVE W","","DUPLEX AVE","","","","11901981","13457135","312820.78","4840494","43.7063458","-79.400252","1953-10-04 00:00:00.0","MTSS","","FXT","1.0 m/s (FDW based on 3/8th, 5/8th rule)","0","1","","","4"
"0095","EGLINTON AVE W","","ORIOLE PKWY","","","","8206114","13457359","312349.41","4840355","43.7051068","-79.406125","1954-12-24 00:00:00.0","SCOOT","","FXT","1.0 m/s (FDW based on full crossing @1.2m/s)","0","","","","3"
"0096","AVENUE RD","","EGLINTON AVE W","","","","8205774","13457449","312157.41","4840298.5","43.7046104","-79.408474","1937-01-08 00:00:00.0","SCOOT","","FXT","1.0 m/s (FDW based on 3/8th, 5/8th rule)","1","","","","4"
"0097","EGLINTON AVE W","","HEDDINGTON AVE","","","","8168653","13457668","311724.94","4840173","43.7034761","-79.41388","1952-12-20 00:00:00.0","TransSuite","","SA2","1.0 m/s (FDW based on full crossing @1.2m/s)","0","","","","3"
"0098","EGLINTON AVE W","","CHAPLIN CRES","","","","8166392","13457799","311443.298891","4840089.01999","43.7027131","-79.417444","1967-01-01 00:00:00.0","TransSuite","","FXT","1.0 m/s (FDW based on full crossing @1.2m/s)","0","","1","","4"
"0099","EGLINTON AVE W","","SPADINA RD","","","","8141100","13457863","311303.993","4840048.003","43.7023611","-79.419081","1976-08-09 00:00:00.0","TransSuite","","FXT","1.0 m/s (FDW based on full crossing @1.2m/s)","0","","1","","3"
"0100","BATHURST ST","","EGLINTON AVE W","","","","12313155","13458084","310783.82138","4839896.5263","43.7009757","-79.425534","1967-01-01 00:00:00.0","TransSuite","","FXT","1.0 m/s (FDW based on full crossing @1.2m/s)","1","","","","4"
"0101","EGLINTON AVE W","","GLEN CEDAR RD","OLD PARK RD","","","8594649","13458244","310353.3","4839769.37","43.6998248","-79.430961","1968-07-10 00:00:00.0","MTSS","","SAP","1.0 m/s (FDW based on full crossing @1.2m/s)","0","","","","4"
"0102","EGLINTON AVE W","","MARLEE AVE","","","","10663385","13458567","309669.6","4839567.6","43.698048","-79.439379","1959-02-12 00:00:00.0","MTSS","","FXT","1.0 m/s (FDW based on 3/8th, 5/8th rule)","0","","","","3"
"0103","EGLINTON AVE W","","OAKWOOD AVE","","","","10663483","13458706","309395.36295","4839485.4124","43.6972932","-79.442789","1958-01-31 00:00:00.0","TransSuite","","FXT","1.0 m/s (FDW based on full crossing @1.2m/s)","0","","1","","3"
"0104","EGLINTON AVE W","","NORTHCLIFFE BLVD","","","","8649755","13458928","309001.1","4839369.22","43.696242","-79.447688","1958-01-31 00:00:00.0","MTSS","","SAP","1.0 m/s (FDW based on 3/8th, 5/8th rule)","0","","","","3"
"0105","DUFFERIN ST","","EGLINTON AVE W","","","","8432383","13459036","308792.0298","4839306.117","43.695684","-79.450293","1963-11-13 00:00:00.0","MTSS","","FXT","1.2 m/s (FDW based on 3/8th, 5/8th rule)","0","","","","4"
"0106","EGLINTON AVE W","","ENNERDALE RD","","","","8432020","13459187","308532.64","4839226.74","43.694985","-79.453476","1958-01-31 00:00:00.0","TransSuite","","SAP","1.0 m/s (FDW based on full crossing @1.2m/s)","0","","","","3"
"0107","AVENUE RD","30m NORTH OF","ELGIN AVE","","HAZELTON LANES","","7979671","0","313205.53","4836702.5","43.672136","-79.395624","1989-12-09 00:00:00.0","SCOOT","","SAP","1.0 m/s (FDW based on full crossing @1.2m/s)","0","","","","3"
"0108","AVENUE RD","","DAVENPORT RD","","","","1141417","13462724","313121.39","4836980.69","43.674705","-79.396651","1932-11-03 00:00:00.0","SCOOT","","FXT","1.2 m/s (FDW based on 3/8th, 5/8th rule)","0","","","","4"
"0109","AVENUE RD","","DUPONT ST","","","","1140902","13462302","313038.74","4837255.86","43.67719","-79.397579","1950-07-25 00:00:00.0","SCOOT","","FXT","1.0 m/s (FDW based on full crossing @1.2m/s)","0","","","","3"
"0110","AVENUE RD","","COTTINGHAM ST","","","SOUTH INTERSECTION","1140422","13461870","312962.934","4837517.026","43.6795475","-79.39855","1948-11-19 00:00:00.0","SCOOT","","SAP","1.0 m/s (FDW based on 3/8th, 5/8th rule)","0","","","","3"
"0111","AVENUE RD","","BALMORAL AVE","","","","1139828","13461005","312803.4851","4838045.3488","43.6843241","-79.400495","1953-03-02 00:00:00.0","SCOOT","","SAP","1.0 m/s (FDW based on 3/8th, 5/8th rule)","0","","","","4"
"0112","ST CLAIR AVE W","","AVENUE RD","","","","1139581","13460576","312725.61","4838304.05","43.686624","-79.401479","1929-08-26 00:00:00.0","Awaiting TransSuite Control","","FXT","1.0 m/s (FDW based on full crossing @1.2m/s)","1","1","","","4"
"0113","AVENUE RD","","LONSDALE RD","ORIOLE PKWY","","","7254155","13459836","312602.37","4838764.02","43.690773","-79.403027","1964-01-17 00:00:00.0","TransSuite","","SA2","1.0 m/s (FDW based on full crossing @1.2m/s)","0","","","","3"
"0114","ORIOLE PKWY","","GORMLEY AVE","","","","1139059","13459295","312692.46","4839091.31","43.6937297","-79.401852","1957-01-28 00:00:00.0","TransSuite","","SAP","1.0 m/s (FDW based on full crossing @1.2m/s)","0","","","","3"
"0115","ORIOLE PKWY","","CHAPLIN CRES","","","","13497196","13458486","312576.93","4839557.81","43.6978798","-79.403231","1950-07-28 00:00:00.0","MTSS","","FXT","1.2 m/s (FDW based on 3/8th, 5/8th rule)","0","","","","4"
